,Calle,Colonia,Delegacion,Estado,Foto,HerramientasFaltantes,HerramientasSobrantes,Hora,HoradelReporte,ManodeObraFaltante,ManodeObraSobrantes,MedicamentosFaltantes,MedicamentosSobrantes,NumeroExterioroAproximado,NumerodePersonasAtrapadas,NumerodePersonasDesaparecidas,NumerodePersonasFallecidas,NumerodePersonasLesionadas,NumerodePersonasRescatadas,OtraReferenciadeUbicacion,Timestamp,TipodeInfraestructura,TipodeUso,TipodelDano,Verificado,ViveresFaltantes,ViveresSobrantes,latitud,longitud
81,,Gertrudis Sánchez 1a. Secc. ,Gustavo A Madero ,CdMx ,,,,,,,,,,,,,,,,,2017-09-19 20:16:13,,,Ofrezco,,"Agua, Manos, Ropa",,19.465911,-99.096684
82,,Centro,Cuauhtémoc,Ciudad de México,,,,,,,,,,,,,,,,,2017-09-19 20:17:07,,,Ofrezco,,"Comida, Agua, Manos, Artículos de limpieza, Medicamentos, Ropa",,19.4298663,-99.1409347
83,,La morita,,Veracruz,,,,,,,,,,,,,,,,Realizaré una colecta con mis alumnos los próximos días ,2017-09-19 20:17:21,,,Ofrezco,,"Comida, Agua, Artículos de limpieza, Ropa",,21.3338599,-98.2156007
84,,Santa Fe,Alvaro Obregon ,CDMX,,,,,,,,,,,,,,,,,2017-09-19 20:18:17,,,Ofrezco,,"Comida, Agua, Refugio / Dónde dormir, Manos, Ropa",,19.3566731,-99.2753515
85,,Jardín Balbuena ,Venustiano Carranza ,Df,,,,,,,,,,,,,,,,,2017-09-19 20:19:25,,,Ofrezco,,"Comida, Agua, Refugio / Dónde dormir, Manos",,19.4142597,-99.1041157
86,,el molinito,cuajimalpa,CDMX,,,,,,,,,,,,,,,,,2017-09-19 20:20:43,,,Ofrezco,,"Agua, Manos, Ropa",,19.3616868,-99.2865157
87,,Claveria,Azcapotzalco,Cdmx,,,,,,,,,,,,,,,,,2017-09-19 20:21:29,,,Ofrezco,,"Comida, Agua, Refugio / Dónde dormir, Manos",,19.4654692,-99.1836543
88,,Santiago Xicotenco ,San Andrés Cholula ,Puebla,,,,,,,,,,,,,,,,,2017-09-19 20:21:43,,,Ofrezco,,"Comida, Agua, Refugio / Dónde dormir, Transporte, Manos, Artículos de limpieza, Medicamentos",,19.0505656,-98.2910529
89,,Lomss verdes primera,Naucalpan,Estado de mexico,,,,,,,,,,,,,,,,,2017-09-19 20:22:45,,,Ofrezco,,"Agua, Medicamentos",,19.5064325,-99.2592176
90,,Tetelpan ,Alvaro Obregón ,Alvaro Obregón ,,,,,,,,,,,,,,,,,2017-09-19 20:24:00,,,Ofrezco,,"Comida, Agua, Manos, Artículos de limpieza, Medicamentos, Ropa, Atención psicológica ",,19.337641,-99.2454452
91,,Magisterial vista bella,Tlanepantla,Mexico,,,,,,,,,,,,,,,,,2017-09-19 20:26:08,,,Ofrezco,,"Manos, Ropa",,19.5246092,-99.2376827
92,,Los belenes,Zapopan,Jalisco,,,,,,,,,,,,,,,,,2017-09-19 20:26:35,,,Ofrezco,,Refugio / Dónde dormir,,20.7398801,-103.3749315
93,,Arboledas,,Jalisco,,,,,,,,,,,,,,,,,2017-09-19 20:27:04,,,Ofrezco,,"Comida, Agua",,20.6290484,-103.4237244
94,,buenavista 1ra,centro ,tabasco ,,,,,,,,,,,,,,,,,2017-09-19 20:27:20,,,Ofrezco,,Manos,,17.9413032,-92.9841749
95,,San Andrés Cholula ,San Andrés Cholula,Puebla,,,,,,,,,,,,,,,,,2017-09-19 20:30:05,,,Ofrezco,,"Comida, Agua, Manos, Artículos de limpieza, Medicamentos",,19.0227928,-98.2527478
96,,San Nicolás Tolentino,Iztapalapa,Mexici,,,,,,,,,,,,,,,,,2017-09-19 20:30:39,,,Ofrezco,,"Comida, Refugio / Dónde dormir, Manos, Ropa",,19.3612961,-99.1158641
97,,BOSQUES DE LAS LOMAS / STA FE ,,CDMX,,,,,,,,,,,,,,,,,2017-09-19 20:31:36,,,Ofrezco,,"Comida, Agua, Manos, Medicamentos, Ropa",,19.361991,-99.2664012
98,,San Jose del pie buen ,Piebla ,Piebla ,,,,,,,,,,,,,,,,,2017-09-19 20:33:16,,,Ofrezco,,Refugio / Dónde dormir,,19.0666204,-98.2436031
99,,Independencia,Guadalajara,Jalisco,,,,,,,,,,,,,,,,,2017-09-19 20:34:08,,,Ofrezco,,"Agua, Ropa",,20.7011443,-103.3299254
100,,Palmitas,Iztapalapa,Mexico,,,,,,,,,,,,,,,,"Solo ayudo niños, bebes y mujeres. 
El refugio es principalmente para estudiantes de fes zaragoza o vocacional 7. Y para medicos del hospital de voca 7",2017-09-19 20:34:28,,,Ofrezco,,"Comida, Agua, Refugio / Dónde dormir, Ropa",,19.3379108,-99.0265606
101,,Valle don Camilo ,Toluca ,Estado de México ,,,,,,,,,,,,,,,,,2017-09-19 20:34:47,,,Ofrezco,,"Comida, Agua",,19.2741888,-99.636223
102,,Jesús del monte,Huixquilucan,Estado de México,,,,,,,,,,,,,,,,,2017-09-19 20:35:48,,,Ofrezco,,"Comida, Agua, Manos",,19.379596,-99.2938053
103,,Centro,Valle de Bravo,Estado de México,,,,,,,,,,,,,,,,,2017-09-19 20:36:37,,,Ofrezco,,"Refugio / Dónde dormir, Manos",,19.1927759,-100.1346164
104,,Palmas altas,Huixquilucan,Distrito Federal,,,,,,,,,,,,,,,,,2017-09-19 20:36:57,,,Ofrezco,,"Comida, Agua, Manos, Artículos de limpieza, Medicamentos, Carpas, tiendas de campaña, Ropa",,19.3123494,-99.2485199
105,,royal contry ,zapopan,jalisco,,,,,,,,,,,,,,,,estoy en una obra con 700 personas algo tendrá que salir ,2017-09-19 20:38:02,,,Ofrezco,,"Comida, Agua, Artículos de limpieza, Ropa",,20.7086309,-103.41997
