Calle,Colonia,Delegacin,EspecialistasFaltantesseparaporcomas,Estado,Foto,HerramientasExistentes,HerramientasFaltantes,Hora,HoradelReporte,ManodeObraExistente,ManodeObraFaltante,MedicamentosExistentes,MedicamentosFaltantes,Municipio,NmeroExterioroAproximado,NmerodePersonasAtrapadas,NmerodePersonasDesaparecidas,NmerodePersonasFallecidas,NmerodePersonasLesionadas,NmerodePersonasRescatadas,OtraReferenciadeUbicacin,Timestamp,TipoDao,TipodeInfraestructura,TipodeUso,TipodelDao,Verificado,VveresExistentes,VveresFaltantes,VveresSobrantes,latitud,longitud
sin nombre,metepec,No Aplica (fuera de CDMX),Si tienes info entra a: http://bit.ly/Verificado19s,Morelos,,manuales,maquinaria pesada para mover escombro,,,vecinos,maquinaria pesada,ninguno,ninguno,Tetela del Volcan,0.0,0,0,,0,0,,9/21/2017 17:41:20,Daño,Casa,Habitacional,Daño,Sí,agua ,alimentos en general,Si tienes info entra a: http://bit.ly/Verificado19s,19.4118593,-99.1710065
2 sur,huexotitla,,Si tienes info entra a: http://bit.ly/Verificado19s,Puebla,,,Si tienes info entra a: http://bit.ly/Verificado19s,,,,Si tienes info entra a: http://bit.ly/Verificado19s,,Si tienes info entra a: http://bit.ly/Verificado19s,,4300.0,,,,,,43 poniente y Blvd. 5 de Mayo,9/20/2017 18:10:01,Daño,Edificio,Mixto,Daño,,,Si tienes info entra a: http://bit.ly/Verificado19s,Si tienes info entra a: http://bit.ly/Verificado19s,19.3394865,-99.1467953
2 poniente ,Centro ,,Si tienes info entra a: http://bit.ly/Verificado19s,Puebla,,Cero ,Cero ,,,Cero ,Cero ,Cero ,Cero,,1207.0,0,0,0,0,0,Entre 12 oriente y 14 oriente ,9/21/2017 10:09:00,Daño,Edificio,Habitacional,Daño,No,Cero,Cero,Si tienes info entra a: http://bit.ly/Verificado19s,19.3776042,-99.1664118
Florencia,Juarez,Cuauhtémoc,Si tienes info entra a: http://bit.ly/Verificado19s,,,,Si tienes info entra a: http://bit.ly/Verificado19s,,,,Si tienes info entra a: http://bit.ly/Verificado19s,,Si tienes info entra a: http://bit.ly/Verificado19s,,30.0,0,0,0,0,0,,9/20/2017 16:31:17,Daño,Edificio,Mixto,Daño,,,Si tienes info entra a: http://bit.ly/Verificado19s,Si tienes info entra a: http://bit.ly/Verificado19s,19.4251475,-99.16649740000001
Puebla,Roma,,Si tienes info entra a: http://bit.ly/Verificado19s,,,Ninguno,Ninguno,,,Ninguno,Ninguno,Ninguno,Ninguno,,144.0,1-5,0,0,0,0,Esquina Puebla y Orizaba,9/21/2017 8:34:35,Daño,Igelsia,Iglesia,Daño,Sí,Ninguno,Ninguno,Si tienes info entra a: http://bit.ly/Verificado19s,19.422497500000002,-99.1615227
Citlaltepetl ,Condesa ,,Si tienes info entra a: http://bit.ly/Verificado19s,,,-,-,,,-,-,-,-,,45.0,,,,,,Citlaltepetl y campeche ,9/21/2017 11:58:43,Daño,Edificio,Habitacional,Daño,No,-,-,Si tienes info entra a: http://bit.ly/Verificado19s,19.408438,-99.1719334
Rep. Uruguay,,,Si tienes info entra a: http://bit.ly/Verificado19s,,,No aplica,No aplica,,,No aplica,No aplica,No aplica,No aplica,,25.0,,,,,,,9/21/2017 17:22:41,Daño,Edificio,Comercial,Daño,No,No aplica,No aplica,Si tienes info entra a: http://bit.ly/Verificado19s,19.4308811,-99.13957109999998
16 de Septiembre ,,,Si tienes info entra a: http://bit.ly/Verificado19s,,,No aplica,No aplica,,,No aplica,No aplica,No aplica,No aplica,,6.0,,,,,,Casi esquina con Eje Central,9/21/2017 17:24:34,Daño,Edificio,Comercial,Daño,No,No aplica,No aplica,Si tienes info entra a: http://bit.ly/Verificado19s,19.4330327,-99.1404868
Río Amazonas ,Cuauhtémoc ,Cuauhtémoc,Si tienes info entra a: http://bit.ly/Verificado19s,Ciudad de México,,,Si tienes info entra a: http://bit.ly/Verificado19s,,,,Si tienes info entra a: http://bit.ly/Verificado19s,,Si tienes info entra a: http://bit.ly/Verificado19s,Cuauhtémoc ,43.0,0,0,0,0,0,,9/22/2017 14:04:45,Daño,Edificio,Procuraduría de la republica ,Daño,Sí,,Si tienes info entra a: http://bit.ly/Verificado19s,Si tienes info entra a: http://bit.ly/Verificado19s,19.4314915,-99.1638436
Río Amazonas ,Cuauhtémoc ,Cuauhtémoc,Si tienes info entra a: http://bit.ly/Verificado19s,Ciudad de México,,,Si tienes info entra a: http://bit.ly/Verificado19s,,,,Si tienes info entra a: http://bit.ly/Verificado19s,,Si tienes info entra a: http://bit.ly/Verificado19s,Cuauhtémoc ,43.0,0,0,0,0,0,,9/22/2017 14:05:30,Daño,Edificio,Procuraduría de la republica ,Daño,Sí,,Si tienes info entra a: http://bit.ly/Verificado19s,Si tienes info entra a: http://bit.ly/Verificado19s,19.4314915,-99.1638436
Puebla,Roma Norte,Cuauhtémoc,Si tienes info entra a: http://bit.ly/Verificado19s,Ciudad de México,,,Si tienes info entra a: http://bit.ly/Verificado19s,,,,Si tienes info entra a: http://bit.ly/Verificado19s,,Si tienes info entra a: http://bit.ly/Verificado19s,,277.0,0,No sé,No sé,No sé,,Valladolid y Salamanca,9/22/2017 14:08:43,Daño,Edificio,Comercial,Daño,Sí,,Si tienes info entra a: http://bit.ly/Verificado19s,Si tienes info entra a: http://bit.ly/Verificado19s,19.4213841,-99.16900720000001
Rio Tiber,Cuauhtemoc,Cuauhtémoc,Si tienes info entra a: http://bit.ly/Verificado19s,Ciudad de México,,,Si tienes info entra a: http://bit.ly/Verificado19s,,,,Si tienes info entra a: http://bit.ly/Verificado19s,,Si tienes info entra a: http://bit.ly/Verificado19s,,48.0,0,0,0,0,0,,9/22/2017 14:09:27,Daño,Edificio,Habitacional,Daño,Sí,,Si tienes info entra a: http://bit.ly/Verificado19s,Si tienes info entra a: http://bit.ly/Verificado19s,19.4316861,-99.1699563
